"No.","Time","Length","TX Rate","Delta Time"
"1251","6.695723","57","24.0","0.000072"
"1252","6.695797","76","144.4","0.000074"
"1253","6.696009","39","24.0","0.000212"
"1254","6.697929","39","6.0","0.001920"
"1255","6.705364","286","1.0","0.007435"
"1256","6.709923","45","24.0","0.004559"
"1257","6.710021","39","24.0","0.000098"
"1258","6.710093","57","24.0","0.000072"
"1259","6.710217","45","24.0","0.000124"
"1260","6.710290","39","24.0","0.000073"
"1261","6.711073","1480","144.4","0.000783"
"1262","6.711171","57","24.0","0.000098"
"1263","6.711501","45","24.0","0.000330"
"1264","6.711581","39","24.0","0.000080"
"1265","6.711703","57","24.0","0.000122"
"1266","6.712262","45","24.0","0.000559"
"1267","6.712344","39","24.0","0.000082"
"1268","6.713218","57","24.0","0.000874"
"1269","6.713300","45","24.0","0.000082"
"1270","6.713423","39","24.0","0.000123"
"1271","6.714212","57","24.0","0.000789"
"1272","6.714540","45","24.0","0.000328"
"1273","6.714641","39","24.0","0.000101"
"1274","6.714900","57","24.0","0.000259"
"1275","6.714980","45","24.0","0.000080"
"1276","6.715053","39","24.0","0.000073"
"1277","6.715181","159","144.4","0.000128"
"1278","6.715255","57","24.0","0.000074"
"1279","6.715371","45","24.0","0.000116"
"1280","6.715444","39","24.0","0.000073"
"1281","6.716275","57","24.0","0.000831"
"1282","6.716372","45","24.0","0.000097"
"1283","6.716569","39","24.0","0.000197"
"1284","6.716642","57","24.0","0.000073"
"1285","6.716759","45","24.0","0.000117"
"1286","6.716874","39","24.0","0.000115"
"1287","6.717926","1480","144.4","0.001052"
"1288","6.718007","57","24.0","0.000081"
"1289","6.718082","39","24.0","0.000075"
"1290","6.718202","57","12.0","0.000120"
"1291","6.718310","45","24.0","0.000108"
"1292","6.718473","39","24.0","0.000163"
"1293","6.718768","57","24.0","0.000295"
"1294","6.719007","45","24.0","0.000239"
"1295","6.719167","39","24.0","0.000160"
"1296","6.719463","1480","144.4","0.000296"
"1297","6.719543","57","24.0","0.000080"
"1298","6.719725","45","24.0","0.000182"
"1299","6.719798","39","24.0","0.000073"
"1300","6.719914","57","24.0","0.000116"
"1301","6.720689","45","24.0","0.000775"
"1302","6.720786","39","24.0","0.000097"
"1303","6.720859","159","130.0","0.000073"
"1304","6.720934","57","24.0","0.000075"
"1305","6.721052","45","24.0","0.000118"
"1306","6.721122","39","24.0","0.000070"
"1307","6.721367","1476","144.4","0.000245"
"1308","6.721439","1476","144.4","0.000072"
"1309","6.721512","1476","144.4","0.000073"
"1310","6.721634","1480","144.4","0.000122"
"1311","6.721707","57","24.0","0.000073"
"1312","6.723039","57","24.0","0.001332"
"1313","6.726311","45","24.0","0.003272"
"1314","6.726408","39","24.0","0.000097"
"1315","6.726481","159","130.0","0.000073"
"1316","6.726556","57","24.0","0.000075"
"1317","6.744445","823","6.0","0.017889"
"1318","6.753069","57","24.0","0.008624"
"1319","6.768347","45","24.0","0.015278"
"1320","6.768445","39","6.0","0.000098"
"1321","6.773591","169","6.0","0.005146"
"1322","6.796799","53","24.0","0.023208"
"1323","6.796897","39","24.0","0.000098"
"1324","6.797154","53","24.0","0.000257"
"1325","6.797235","39","24.0","0.000081"
"1326","6.797930","53","24.0","0.000695"
"1327","6.798028","39","24.0","0.000098"
"1328","6.798314","53","24.0","0.000286"
"1329","6.798389","39","24.0","0.000075"
"1330","6.807784","287","1.0","0.009395"
"1331","6.808806","823","6.0","0.001022"
"1332","6.809920","126","1.0","0.001114"
"1333","6.811055","126","1.0","0.001135"
"1334","6.862195","55","1.0","0.051140"
"1335","6.862293","39","1.0","0.000098"
"1336","6.872378","823","6.0","0.010085"
"1337","6.887498","169","6.0","0.015120"
"1338","6.910191","287","1.0","0.022693"
"1339","6.919984","57","6.0","0.009793"
"1340","6.920163","57","6.0","0.000179"
"1341","6.944376","823","6.0","0.024213"
"1342","6.953277","76","130.0","0.008901"
"1343","6.953376","39","24.0","0.000099"
"1344","6.998709","169","6.0","0.045333"
"1345","7.008481","823","6.0","0.009772"
"1346","7.012462","287","1.0","0.003981"
"1347","7.061697","437","6.0","0.049235"
"1348","7.072312","823","6.0","0.010615"
"1349","7.111965","169","6.0","0.039653"
"1350","7.114814","287","1.0","0.002849"
"1351","7.116134","126","1.0","0.001320"
"1352","7.119081","57","12.0","0.002947"
"1353","7.136522","823","6.0","0.017441"
"1354","7.164079","437","6.0","0.027557"
"1355","7.200904","823","6.0","0.036825"
"1356","7.217157","287","1.0","0.016253"
"1357","7.224755","169","6.0","0.007598"
"1358","7.245504","39","6.0","0.020749"
"1359","7.266354","437","6.0","0.020850"
"1360","7.274312","823","6.0","0.007958"
"1361","7.319715","287","1.0","0.045403"
"1362","7.319976","57","12.0","0.000261"
"1363","7.336540","823","6.0","0.016564"
"1364","7.337786","169","6.0","0.001246"
"1365","7.368740","437","6.0","0.030954"
"1366","7.400559","823","6.0","0.031819"
"1367","7.422076","287","1.0","0.021517"
"1368","7.423186","126","1.0","0.001110"
"1369","7.426269","368","1.0","0.003083"
"1370","7.431091","440","1.0","0.004822"
"1371","7.434545","436","1.0","0.003454"
"1372","7.438078","416","1.0","0.003533"
"1373","7.441810","448","1.0","0.003732"
"1374","7.449339","432","1.0","0.007529"
"1375","7.456007","169","6.0","0.006668"
"1376","7.459291","432","1.0","0.003284"
"1377","7.460411","123","1.0","0.001120"
"1378","7.461496","126","1.0","0.001085"
"1379","7.462561","107","1.0","0.001065"
"1380","7.463901","823","6.0","0.001340"
"1381","7.471156","437","6.0","0.007255"
"1382","7.520325","57","12.0","0.049169"
"1383","7.525290","287","1.0","0.004965"
"1384","7.528557","823","6.0","0.003267"
"1385","7.532496","76","130.0","0.003939"
"1386","7.532574","39","24.0","0.000078"
"1387","7.532648","45","24.0","0.000074"
"1388","7.532720","39","24.0","0.000072"
"1389","7.532793","142","130.0","0.000073"
"1390","7.532866","57","24.0","0.000073"
"1391","7.564139","169","6.0","0.031273"
"1392","7.573556","437","6.0","0.009417"
"1393","7.596658","76","130.0","0.023102"
"1394","7.596756","39","24.0","0.000098"
"1395","7.600504","823","6.0","0.003748"
"1396","7.616378","57","24.0","0.015874"
"1397","7.631527","57","12.0","0.015149"
"1398","7.631896","45","6.0","0.000369"
"1399","7.632198","186","6.5","0.000302"
"1400","7.636958","45","24.0","0.004760"
"1401","7.637061","39","6.0","0.000103"
"1402","7.637131","57","24.0","0.000070"
"1403","7.664562","823","6.0","0.027431"
"1404","7.676073","437","6.0","0.011511"
"1405","7.676761","169","6.0","0.000688"
"1406","7.688402","55","1.0","0.011641"
"1407","7.688485","39","1.0","0.000083"
"1408","7.720647","57","12.0","0.032162"
"1409","7.729423","287","1.0","0.008776"
"1410","7.730431","823","6.0","0.001008"
"1411","7.731444","126","1.0","0.001013"
"1412","7.732647","126","1.0","0.001203"
"1413","7.778479","437","6.0","0.045832"
"1414","7.790005","169","6.0","0.011526"
"1415","7.792510","823","6.0","0.002505"
"1416","7.800422","39","6.0","0.007912"
"1417","7.831617","287","1.0","0.031195"
"1418","7.856405","823","6.0","0.024788"
"1419","7.880969","437","6.0","0.024564"
"1420","7.903013","169","6.0","0.022044"
"1421","7.920490","823","6.0","0.017477"
"1422","7.921097","57","12.0","0.000607"
"1423","7.934069","287","1.0","0.012972"
"1424","7.992520","823","6.0","0.058451"
"1425","8.015986","169","6.0","0.023466"
"1426","8.046213","287","1.0","0.030227"
"1427","8.048381","126","1.0","0.002168"
"1428","8.059958","823","6.0","0.011577"
"1429","8.120442","823","6.0","0.060484"
"1430","8.121825","57","6.0","0.001383"
"1431","8.129339","169","6.0","0.007514"
"1432","8.139360","287","1.0","0.010021"
"1433","8.185388","823","6.0","0.046028"
"1434","8.241439","287","1.0","0.056051"
"1435","8.241536","169","6.0","0.000097"
"1436","8.248430","823","6.0","0.006894"
"1437","8.323146","823","6.0","0.074716"
"1438","8.323478","57","6.0","0.000332"
"1439","8.344277","287","1.0","0.020799"
"1440","8.345337","126","1.0","0.001060"
"1441","8.345419","39","24.0","0.000082"
"1442","8.346730","126","1.0","0.001311"
"1443","8.346813","154","72.2","0.000083"
"1444","8.346887","154","72.2","0.000074"
"1445","8.346960","154","72.2","0.000073"
"1446","8.347086","154","72.2","0.000126"
"1447","8.347159","154","72.2","0.000073"
"1448","8.347232","154","72.2","0.000073"
"1449","8.347348","154","72.2","0.000116"
"1450","8.347760","154","72.2","0.000412"
"1451","8.351653","39","6.0","0.003893"
"1452","8.363430","39","24.0","0.011777"
"1453","8.384264","823","6.0","0.020834"
"1454","8.446121","286","1.0","0.061857"
"1455","8.448453","823","6.0","0.002332"
"1456","8.466740","169","6.0","0.018287"
"1457","8.512511","823","6.0","0.045771"
"1458","8.522455","57","12.0","0.009944"
"1459","8.533046","39","6.0","0.010591"
"1460","8.548449","286","1.0","0.015403"
"1461","8.577152","823","6.0","0.028703"
"1462","8.580440","169","6.0","0.003288"
"1463","8.597697","437","6.0","0.017257"
"1464","8.636959","57","12.0","0.039262"
"1465","8.637103","45","6.0","0.000144"
"1466","8.637362","186","6.5","0.000259"
"1467","8.648680","823","6.0","0.011318"
"1468","8.650894","287","1.0","0.002214"
"1469","8.651839","126","1.0","0.000945"
"1470","8.694297","169","6.0","0.042458"
"1471","8.713118","823","6.0","0.018821"
"1472","8.715414","39","6.0","0.002296"
"1473","8.723259","39","5.5","0.007845"
"1474","8.728415","291","1.0","0.005156"
"1475","8.753787","287","1.0","0.025372"
"1476","8.776409","823","6.0","0.022622"
"1477","8.806931","169","6.0","0.030522"
"1478","8.840524","823","6.0","0.033593"
"1479","8.855574","287","1.0","0.015050"
"1480","8.904478","823","6.0","0.048904"
"1481","8.919831","169","6.0","0.015353"
"1482","8.923895","57","12.0","0.004064"
"1483","8.959855","287","1.0","0.035960"
"1484","8.960850","126","1.0","0.000995"
"1485","8.976500","823","6.0","0.015650"
"1486","9.007336","437","6.0","0.030836"
"1487","9.009877","45","24.0","0.002541"
"1488","9.009953","39","24.0","0.000076"
"1489","9.010027","191","130.0","0.000074"
"1490","9.010101","57","24.0","0.000074"
"1491","9.010224","76","130.0","0.000123"
"1492","9.010297","76","130.0","0.000073"
"1493","9.010369","76","130.0","0.000072"
"1494","9.010486","76","78.0","0.000117"
"1495","9.010737","76","52.0","0.000251"
"1496","9.010818","76","39.0","0.000081"
"1497","9.010938","76","39.0","0.000120"
"1498","9.031846","169","6.0","0.020908"
"1499","9.040704","823","6.0","0.008858"
"1500","9.050523","53","24.0","0.009819"
"1501","9.050620","39","24.0","0.000097"
"1502","9.061178","287","1.0","0.010558"
"1503","9.075119","53","24.0","0.013941"
"1504","9.075217","39","24.0","0.000098"
"1505","9.075292","76","130.0","0.000075"
"1506","9.075364","39","24.0","0.000072"
"1507","9.080451","39","6.0","0.005087"
"1508","9.104533","823","6.0","0.024082"
"1509","9.109776","437","6.0","0.005243"
"1510","9.123921","57","12.0","0.014145"
"1511","9.145079","169","6.0","0.021158"
"1512","9.165632","287","1.0","0.020553"
"1513","9.168510","823","6.0","0.002878"
"1514","9.232452","823","6.0","0.063942"
"1515","9.258030","169","6.0","0.025578"
"1516","9.261730","39","6.0","0.003700"
"1517","9.267536","287","1.0","0.005806"
"1518","9.269278","126","1.0","0.001742"
"1519","9.299995","823","6.0","0.030717"
"1520","9.314657","437","6.0","0.014662"
"1521","9.324526","57","12.0","0.009869"
"1522","9.367603","287","1.0","0.043077"
"1523","9.368705","823","6.0","0.001102"
"1524","9.370760","169","6.0","0.002055"
"1525","9.373889","1594","52.0","0.003129"
"1526","9.416939","437","6.0","0.043050"
"1527","9.432455","823","6.0","0.015516"
"1528","9.446685","39","6.0","0.014230"
"1529","9.470006","287","1.0","0.023321"
"1530","9.482904","169","6.0","0.012898"
"1531","9.497782","823","6.0","0.014878"
"1532","9.519182","437","6.0","0.021400"
"1533","9.524841","57","12.0","0.005659"
"1534","9.560497","823","6.0","0.035656"
"1535","9.574375","287","1.0","0.013878"
"1536","9.576297","126","1.0","0.001922"
"1537","9.577275","107","1.0","0.000978"
"1538","9.578382","126","1.0","0.001107"
"1539","9.596055","169","6.0","0.017673"
"1540","9.621685","437","6.0","0.025630"
"1541","9.624420","823","6.0","0.002735"
"1542","9.674850","287","1.0","0.050430"
"1543","9.698549","823","6.0","0.023699"
"1544","9.708897","169","6.0","0.010348"
"1545","9.724098","437","6.0","0.015201"
"1546","9.725433","57","12.0","0.001335"
"1547","9.760833","823","6.0","0.035400"
"1548","9.777267","287","1.0","0.016434"
"1549","9.809340","39","6.0","0.032073"
"1550","9.824514","169","6.0","0.015174"
"1551","9.825632","823","6.0","0.001118"
"1552","9.826467","437","6.0","0.000835"
"1553","9.879709","287","1.0","0.053242"
"1554","9.880837","126","1.0","0.001128"
"1555","9.888376","823","6.0","0.007539"
"1556","9.925874","57","12.0","0.037498"
"1557","9.928926","437","6.0","0.003052"
"1558","9.934949","169","6.0","0.006023"
"1559","9.952301","823","6.0","0.017352"
"1560","9.982114","287","1.0","0.029813"
"1561","9.994089","39","6.0","0.011975"
"1562","10.011475","45","24.0","0.017386"
"1563","10.011573","45","24.0","0.000098"
"1564","10.012012","45","24.0","0.000439"
"1565","10.012635","45","24.0","0.000623"
"1566","10.014641","45","24.0","0.002006"
"1567","10.014714","39","24.0","0.000073"
"1568","10.014786","191","78.0","0.000072"
"1569","10.014858","57","24.0","0.000072"
"1570","10.014980","76","130.0","0.000122"
"1571","10.015052","39","24.0","0.000072"
"1572","10.024206","823","6.0","0.009154"
"1573","10.049959","169","6.0","0.025753"
"1574","10.056540","53","24.0","0.006581"
"1575","10.056642","39","24.0","0.000102"
"1576","10.057113","53","24.0","0.000471"
"1577","10.057188","39","24.0","0.000075"
"1578","10.057716","53","24.0","0.000528"
"1579","10.057793","39","24.0","0.000077"
"1580","10.058488","53","24.0","0.000695"
"1581","10.058756","53","6.0","0.000268"
"1582","10.058831","39","6.0","0.000075"
"1583","10.077517","76","144.4","0.018686"
"1584","10.077622","39","24.0","0.000105"
"1585","10.084365","287","1.0","0.006743"
"1586","10.088198","823","6.0","0.003833"
"1587","10.126297","57","12.0","0.038099"
"1588","10.153425","823","6.0","0.027128"
"1589","10.163314","169","6.0","0.009889"
"1590","10.186948","287","1.0","0.023634"
"1591","10.188030","126","1.0","0.001082"
"1592","10.189517","166","1.0","0.001487"
"1593","10.189600","39","24.0","0.000083"
"1594","10.190699","126","1.0","0.001099"
"1595","10.190782","154","72.2","0.000083"
"1596","10.190855","154","72.2","0.000073"
"1597","10.207337","39","24.0","0.016482"
"1598","10.216487","823","6.0","0.009150"
"1599","10.237929","437","6.0","0.021442"
"1600","10.259271","39","12.0","0.021342"
"1601","10.274558","169","6.0","0.015287"
"1602","10.289234","286","1.0","0.014676"
"1603","10.326779","57","12.0","0.037545"
"1604","10.350939","45","6.0","0.024160"
"1605","10.351215","178","6.5","0.000276"
"1606","10.352647","823","6.0","0.001432"
"1607","10.360488","39","6.0","0.007841"
"1608","10.387211","169","6.0","0.026723"
"1609","10.393802","286","1.0","0.006591"
"1610","10.416365","823","6.0","0.022563"
"1611","10.480428","823","6.0","0.064063"
"1612","10.499607","287","1.0","0.019179"
"1613","10.500801","126","1.0","0.001194"
"1614","10.500900","169","6.0","0.000099"
"1615","10.527383","57","12.0","0.026483"
"1616","10.544559","823","6.0","0.017176"
"1617","10.596396","287","1.0","0.051837"
"1618","10.608172","823","6.0","0.011776"
"1619","10.613689","169","6.0","0.005517"
"1620","10.672196","823","6.0","0.058507"
"1621","10.700529","287","1.0","0.028333"
"1622","10.726559","169","6.0","0.026030"
"1623","10.726683","39","6.0","0.000124"
"1624","10.730139","57","12.0","0.003456"
"1625","10.744367","823","6.0","0.014228"
"1626","10.801380","287","1.0","0.057013"
"1627","10.803324","126","1.0","0.001944"
"1628","10.804651","126","1.0","0.001327"
"1629","10.808281","823","6.0","0.003630"
"1630","10.838736","169","6.0","0.030455"
"1631","10.872176","823","6.0","0.033440"
"1632","10.903707","287","1.0","0.031531"
"1633","10.908030","39","6.0","0.004323"
"1634","10.930384","57","6.0","0.022354"
"1635","10.936522","823","6.0","0.006138"
"1636","10.951800","169","6.0","0.015278"
"1637","11.000464","823","6.0","0.048664"
"1638","11.006044","287","1.0","0.005580"
"1639","11.064766","169","6.0","0.058722"
"1640","11.072232","823","6.0","0.007466"
"1641","11.093122","39","6.0","0.020890"
"1642","11.109716","287","1.0","0.016594"
"1643","11.110694","126","1.0","0.000978"
"1644","11.113852","76","144.4","0.003158"
"1645","11.113950","39","24.0","0.000098"
"1646","11.114073","45","24.0","0.000123"
"1647","11.114378","45","24.0","0.000305"
"1648","11.114848","45","24.0","0.000470"
"1649","11.116630","45","24.0","0.001782"
"1650","11.116712","39","24.0","0.000082"
"1651","11.116785","681","78.0","0.000073"
"1652","11.116901","57","24.0","0.000116"
"1653","11.128856","57","12.0","0.011955"
"1654","11.129230","45","24.0","0.000374"
"1655","11.129330","39","6.0","0.000100"
"1656","11.129451","57","6.0","0.000121"
"1657","11.130234","45","24.0","0.000783"
"1658","11.130316","39","6.0","0.000082"
"1659","11.130389","57","6.0","0.000073"
"1660","11.130511","45","24.0","0.000122"
"1661","11.130628","39","6.0","0.000117"
"1662","11.131457","1476","144.4","0.000829"
"1663","11.132001","1480","144.4","0.000544"
"1664","11.132083","57","6.0","0.000082"
"1665","11.132451","45","24.0","0.000368"
"1666","11.132533","39","6.0","0.000082"
"1667","11.133844","57","6.0","0.001311"
"1668","11.133926","45","24.0","0.000082"
"1669","11.136338","45","24.0","0.002412"
"1670","11.137626","45","24.0","0.001288"
"1671","11.138133","45","24.0","0.000507"
"1672","11.138231","45","24.0","0.000098"
"1673","11.139947","45","24.0","0.001716"
"1674","11.140045","39","24.0","0.000098"
"1675","11.140118","158","78.0","0.000073"
"1676","11.140191","162","78.0","0.000073"
"1677","11.140265","57","24.0","0.000074"
"1678","11.140426","45","24.0","0.000161"
"1679","11.140498","39","24.0","0.000072"
"1680","11.140571","158","144.4","0.000073"
"1681","11.140643","158","144.4","0.000072"
"1682","11.140716","158","144.4","0.000073"
"1683","11.140788","158","144.4","0.000072"
"1684","11.140861","158","144.4","0.000073"
"1685","11.140934","158","144.4","0.000073"
"1686","11.141006","158","144.4","0.000072"
"1687","11.141078","158","144.4","0.000072"
"1688","11.141150","158","144.4","0.000072"
"1689","11.141223","158","144.4","0.000073"
"1690","11.141294","159","144.4","0.000071"
"1691","11.141363","57","24.0","0.000069"
"1692","11.141476","45","24.0","0.000113"
"1693","11.141546","39","6.0","0.000070"
"1694","11.141617","1476","144.4","0.000071"
"1695","11.142126","1476","144.4","0.000509"
"1696","11.142426","1550","144.4","0.000300"
"1697","11.142507","57","6.0","0.000081"
"1698","11.143145","45","24.0","0.000638"
"1699","11.143243","39","6.0","0.000098"
"1700","11.146539","45","24.0","0.003296"
"1701","11.146636","39","24.0","0.000097"
"1702","11.147489","1476","144.4","0.000853"
"1703","11.147902","1476","144.4","0.000413"
"1704","11.148597","1476","144.4","0.000695"
"1705","11.148692","1476","144.4","0.000095"
"1706","11.148814","1480","144.4","0.000122"
"1707","11.148933","57","24.0","0.000119"
"1708","11.149287","45","24.0","0.000354"
"1709","11.149390","39","24.0","0.000103"
"1710","11.149464","159","144.4","0.000074"
"1711","11.149538","57","24.0","0.000074"
"1712","11.149659","45","24.0","0.000121"
"1713","11.149732","39","6.0","0.000073"
"1714","11.151230","1476","144.4","0.001498"
"1715","11.151325","1476","144.4","0.000095"
"1716","11.151943","1476","144.4","0.000618"
"1717","11.152080","1476","144.4","0.000137"
"1718","11.152288","1480","144.4","0.000208"
"1719","11.152362","57","6.0","0.000074"
"1720","11.153075","45","24.0","0.000713"
"1721","11.153170","39","6.0","0.000095"
"1722","11.153573","731","144.4","0.000403"
"1723","11.153872","1132","144.4","0.000299"
"1724","11.153949","1476","144.4","0.000077"
"1725","11.154060","1476","144.4","0.000111"
"1726","11.154507","1476","144.4","0.000447"
"1727","11.155751","1363","144.4","0.001244"
"1728","11.155830","57","6.0","0.000079"
"1729","11.156037","45","24.0","0.000207"
"1730","11.156111","39","24.0","0.000074"
"1731","11.156695","1476","144.4","0.000584"
"1732","11.156792","1029","144.4","0.000097"
"1733","11.156864","57","24.0","0.000072"
"1734","11.157717","437","6.0","0.000853"
"1735","11.159445","45","24.0","0.001728"
"1736","11.159542","39","24.0","0.000097"
"1737","11.159616","159","144.4","0.000074"
"1738","11.159690","57","24.0","0.000074"
"1739","11.164612","45","24.0","0.004922"
"1740","11.164693","39","24.0","0.000081"
"1741","11.164767","159","144.4","0.000074"
"1742","11.164842","57","24.0","0.000075"
"1743","11.177127","169","6.0","0.012285"
"1744","11.200836","823","6.0","0.023709"
"1745","11.211025","287","1.0","0.010189"
"1746","11.260240","437","6.0","0.049215"
"1747","11.264296","823","6.0","0.004056"
"1748","11.293307","169","6.0","0.029011"
"1749","11.313620","287","1.0","0.020313"
"1750","11.328435","823","6.0","0.014815"
"1751","11.329286","57","12.0","0.000851"
"1752","11.362567","437","6.0","0.033281"
"1753","11.369901","76","144.4","0.007334"
"1754","11.369984","39","24.0","0.000083"
"1755","11.400272","823","6.0","0.030288"
"1756","11.402532","169","6.0","0.002260"
"1757","11.420276","287","1.0","0.017744"
"1758","11.421412","126","1.0","0.001136"
"1759","11.423033","126","1.0","0.001621"
"1760","11.424798","107","1.0","0.001765"
"1761","11.464310","823","6.0","0.039512"
"1762","11.466682","437","6.0","0.002372"
"1763","11.518228","287","1.0","0.051546"
"1764","11.518326","169","6.0","0.000098"
"1765","11.528243","823","6.0","0.009917"
"1766","11.529851","57","12.0","0.001608"
"1767","11.567205","437","6.0","0.037354"
"1768","11.592457","823","6.0","0.025252"
"1769","11.620534","287","1.0","0.028077"
"1770","11.629984","169","6.0","0.009450"
"1771","11.656282","823","6.0","0.026298"
"1772","11.669939","437","6.0","0.013657"
"1773","11.722964","287","1.0","0.053025"
"1774","11.724058","126","1.0","0.001094"
"1775","11.728383","823","6.0","0.004325"
"1776","11.730919","57","6.0","0.002536"
"1777","11.743582","169","6.0","0.012663"
"1778","11.772005","437","6.0","0.028423"
"1779","11.792480","823","6.0","0.020475"
"1780","11.825419","287","1.0","0.032939"
"1781","11.828021","39","6.0","0.002602"
"1782","11.857415","823","6.0","0.029394"
"1783","11.857571","169","6.0","0.000156"
"1784","11.874404","437","6.0","0.016833"
"1785","11.910837","45","6.0","0.036433"
"1786","11.920102","823","6.0","0.009265"
"1787","11.930918","57","12.0","0.010816"
"1788","11.933720","57","6.0","0.002802"
"1789","11.969793","169","6.0","0.036073"
"1790","11.976924","437","6.0","0.007131"
"1791","11.984158","823","6.0","0.007234"
"1792","12.014290","39","6.0","0.030132"
"1793","12.036465","287","1.0","0.022175"
"1794","12.037440","126","1.0","0.000975"
"1795","12.038554","126","1.0","0.001114"
"1796","12.038651","39","24.0","0.000097"
"1797","12.038788","130","72.2","0.000137"
"1798","12.038861","154","72.2","0.000073"
"1799","12.038935","154","72.2","0.000074"
"1800","12.039658","39","24.0","0.000723"
"1801","12.039756","57","24.0","0.000098"
"1802","12.048352","823","6.0","0.008596"
"1803","12.052215","76","144.4","0.003863"
"1804","12.052313","39","24.0","0.000098"
"1805","12.052436","45","24.0","0.000123"
"1806","12.052509","39","24.0","0.000073"
"1807","12.052714","57","24.0","0.000205"
"1808","12.055534","45","24.0","0.002820"
"1809","12.056608","39","24.0","0.001074"
"1810","12.056690","45","24.0","0.000082"
"1811","12.056812","45","24.0","0.000122"
"1812","12.057258","45","24.0","0.000446"
"1813","12.059324","45","24.0","0.002066"
"1814","12.060469","45","24.0","0.001145"
"1815","12.061214","45","24.0","0.000745"
"1816","12.061312","39","24.0","0.000098"
"1817","12.061385","57","24.0","0.000073"
"1818","12.066629","45","24.0","0.005244"
"1819","12.066728","45","24.0","0.000099"
"1820","12.067163","45","24.0","0.000435"
"1821","12.068145","45","24.0","0.000982"
"1822","12.068247","39","24.0","0.000102"
"1823","12.068319","150","52.0","0.000072"
"1824","12.068394","154","52.0","0.000075"
"1825","12.068467","57","24.0","0.000073"
"1826","12.082863","169","6.0","0.014396"
"1827","12.120179","823","6.0","0.037316"
"1828","12.131488","57","12.0","0.011309"
"1829","12.132332","76","144.4","0.000844"
"1830","12.132416","39","24.0","0.000084"
"1831","12.134801","286","1.0","0.002385"
"1832","12.181879","437","6.0","0.047078"
"1833","12.184269","823","6.0","0.002390"
"1834","12.195675","169","6.0","0.011406"
"1835","12.196805","39","6.0","0.001130"
"1836","12.234905","286","1.0","0.038100"
"1837","12.248168","823","6.0","0.013263"
"1838","12.277627","39","24.0","0.029459"
"1839","12.308007","169","6.0","0.030380"
"1840","12.316750","45","24.0","0.008743"
"1841","12.316847","45","24.0","0.000097"
"1842","12.317040","39","24.0","0.000193"
"1843","12.317118","57","24.0","0.000078"
"1844","12.317237","76","144.4","0.000119"
"1845","12.317311","39","24.0","0.000074"
"1846","12.323444","823","6.0","0.006133"
"1847","12.330401","185","144.4","0.006957"
"1848","12.330483","39","24.0","0.000082"
"1849","12.331687","39","12.0","0.001204"
"1850","12.337756","286","1.0","0.006069"
"1851","12.338832","123","1.0","0.001076"
"1852","12.339982","126","1.0","0.001150"
"1853","12.348999","45","24.0","0.009017"
"1854","12.349102","39","6.0","0.000103"
"1855","12.349175","57","6.0","0.000073"
"1856","12.351554","45","24.0","0.002379"
"1857","12.351652","39","24.0","0.000098"
"1858","12.351725","166","144.4","0.000073"
"1859","12.351799","57","24.0","0.000074"
"1860","12.374568","45","24.0","0.022769"
"1861","12.374666","39","24.0","0.000098"
"1862","12.379517","823","6.0","0.004851"
"1863","12.382469","45","24.0","0.002952"
"1864","12.382567","39","24.0","0.000098"
"1865","12.382640","57","24.0","0.000073"
"1866","12.386596","437","6.0","0.003956"
"1867","12.423820","169","6.0","0.037224"
"1868","12.439799","286","1.0","0.015979"
"1869","12.445722","76","144.4","0.005923"
"1870","12.445820","39","24.0","0.000098"
"1871","12.448207","823","6.0","0.002387"
"1872","12.488940","437","6.0","0.040733"
"1873","12.512355","823","6.0","0.023415"
"1874","12.532261","57","12.0","0.019906"
"1875","12.533916","169","6.0","0.001655"
"1876","12.542572","45","24.0","0.008656"
"1877","12.542670","76","144.4","0.000098"
"1878","12.542745","39","24.0","0.000075"
"1879","12.545168","286","1.0","0.002423"
"1880","12.545273","45","24.0","0.000105"
"1881","12.545346","39","24.0","0.000073"
"1882","12.545418","57","24.0","0.000072"
"1883","12.545540","76","144.4","0.000122"
"1884","12.545614","39","24.0","0.000074"
"1885","12.545687","45","24.0","0.000073"
"1886","12.545808","39","24.0","0.000121"
"1887","12.545881","166","144.4","0.000073"
"1888","12.545955","57","24.0","0.000074"
"1889","12.546027","154","144.4","0.000072"
"1890","12.546100","57","24.0","0.000073"
"1891","12.546219","45","24.0","0.000119"
"1892","12.546292","39","24.0","0.000073"
"1893","12.546365","351","144.4","0.000073"
"1894","12.546482","57","24.0","0.000117"
"1895","12.576333","823","6.0","0.029851"
"1896","12.607597","76","144.4","0.031264"
"1897","12.610268","76","144.4","0.002671"
"1898","12.610367","76","144.4","0.000099"
"1899","12.610490","76","86.7","0.000123"
"1900","12.610564","39","24.0","0.000074"
"1901","12.640267","823","6.0","0.029703"
"1902","12.644621","286","1.0","0.004354"
"1903","12.645664","126","1.0","0.001043"
"1904","12.646782","126","1.0","0.001118"
"1905","12.646881","169","6.0","0.000099"
"1906","12.652192","76","144.4","0.005311"
"1907","12.652457","76","144.4","0.000265"
"1908","12.652536","76","144.4","0.000079"
"1909","12.652702","39","24.0","0.000166"
"1910","12.652999","45","24.0","0.000297"
"1911","12.653134","39","24.0","0.000135"
"1912","12.653207","57","24.0","0.000073"
"1913","12.655037","45","24.0","0.001830"
"1914","12.655119","45","24.0","0.000082"
