"No.","Time","Length","TX Rate","Delta Time"
"159","1.077612","45","24.0","0.004507"
"160","1.079438","57","24.0","0.001826"
"161","1.083038","39","24.0","0.003600"
"162","1.089753","57","24.0","0.006715"
"163","1.107954","39","24.0","0.018201"
"164","1.110449","39","1.0","0.002495"
"165","1.112796","823","6.0","0.002347"
"166","1.113829","39","1.0","0.001033"
"167","1.114098","45","24.0","0.000269"
"168","1.115381","57","1.0","0.001283"
"169","1.121403","193","72.2","0.006022"
"170","1.122291","437","6.0","0.000888"
"171","1.124274","39","24.0","0.001983"
"172","1.124347","57","24.0","0.000073"
"173","1.126160","39","24.0","0.001813"
"174","1.126233","57","24.0","0.000073"
"175","1.129626","169","6.0","0.003393"
"176","1.135235","39","24.0","0.005609"
"177","1.135313","57","24.0","0.000078"
"178","1.141213","39","24.0","0.005900"
"179","1.142124","39","24.0","0.000911"
"180","1.142771","39","24.0","0.000647"
"181","1.143383","39","24.0","0.000612"
"182","1.149940","154","72.2","0.006557"
"183","1.156063","39","24.0","0.006123"
"184","1.171259","57","24.0","0.015196"
"185","1.175639","286","1.0","0.004380"
"186","1.176733","823","6.0","0.001094"
"187","1.234694","76","144.4","0.057961"
"188","1.234827","39","24.0","0.000133"
"189","1.234901","45","24.0","0.000074"
"190","1.234973","39","24.0","0.000072"
"191","1.235096","682","144.4","0.000123"
"192","1.235169","57","24.0","0.000073"
"193","1.240810","823","6.0","0.005641"
"194","1.240944","169","6.0","0.000134"
"195","1.248302","45","24.0","0.007358"
"196","1.250321","45","24.0","0.002019"
"197","1.250420","39","6.0","0.000099"
"198","1.250492","57","6.0","0.000072"
"199","1.251435","45","24.0","0.000943"
"200","1.251516","39","6.0","0.000081"
"201","1.251589","57","6.0","0.000073"
"202","1.251712","45","24.0","0.000123"
"203","1.251830","39","6.0","0.000118"
"204","1.252807","57","6.0","0.000977"
"205","1.256384","45","24.0","0.003577"
"206","1.256481","39","6.0","0.000097"
"207","1.257071","1476","144.4","0.000590"
"208","1.257276","1476","144.4","0.000205"
"209","1.257913","385","144.4","0.000637"
"210","1.258154","1480","144.4","0.000241"
"211","1.258234","57","6.0","0.000080"
"212","1.258768","45","24.0","0.000534"
"213","1.258934","45","24.0","0.000166"
"214","1.259008","39","24.0","0.000074"
"215","1.259082","159","144.4","0.000074"
"216","1.260437","45","24.0","0.001355"
"217","1.260510","45","24.0","0.000073"
"218","1.261419","45","24.0","0.000909"
"219","1.261516","39","24.0","0.000097"
"220","1.261589","155","86.7","0.000073"
"221","1.261663","158","86.7","0.000074"
"222","1.261736","158","86.7","0.000073"
"223","1.261809","158","86.7","0.000073"
"224","1.261882","158","86.7","0.000073"
"225","1.261955","162","86.7","0.000073"
"226","1.262028","57","24.0","0.000073"
"227","1.262152","45","24.0","0.000124"
"228","1.262224","39","6.0","0.000072"
"229","1.264223","1476","144.4","0.001999"
"230","1.264337","1480","144.4","0.000114"
"231","1.264448","57","6.0","0.000111"
"232","1.264580","45","24.0","0.000132"
"233","1.264652","39","24.0","0.000072"
"234","1.264725","158","144.4","0.000073"
"235","1.264798","159","144.4","0.000073"
"236","1.264871","57","24.0","0.000073"
"237","1.267286","45","24.0","0.002415"
"238","1.267418","39","24.0","0.000132"
"239","1.269937","57","24.0","0.002519"
"240","1.270018","45","24.0","0.000081"
"241","1.270156","39","24.0","0.000138"
"242","1.270229","159","144.4","0.000073"
"243","1.270303","57","24.0","0.000074"
"244","1.270963","45","24.0","0.000660"
"245","1.271037","39","6.0","0.000074"
"246","1.271503","1476","144.4","0.000466"
"247","1.271580","1476","144.4","0.000077"
"248","1.272369","1476","144.4","0.000789"
"249","1.272482","1476","144.4","0.000113"
"250","1.272637","1476","144.4","0.000155"
"251","1.272879","1476","144.4","0.000242"
"252","1.272972","1476","144.4","0.000093"
"253","1.273044","1476","144.4","0.000072"
"254","1.273157","1476","144.4","0.000113"
"255","1.273440","1476","144.4","0.000283"
"256","1.273521","1480","144.4","0.000081"
"257","1.273641","57","6.0","0.000120"
"258","1.274143","45","24.0","0.000502"
"259","1.274245","39","24.0","0.000102"
"260","1.274357","159","144.4","0.000112"
"261","1.274428","57","24.0","0.000071"
"262","1.274536","45","24.0","0.000108"
"263","1.274606","39","6.0","0.000070"
"264","1.275108","1476","144.4","0.000502"
"265","1.275178","1476","144.4","0.000070"
"266","1.275285","1476","144.4","0.000107"
"267","1.275707","1476","144.4","0.000422"
"268","1.275778","1476","144.4","0.000071"
"269","1.275848","1476","144.4","0.000070"
"270","1.275958","1476","144.4","0.000110"
"271","1.276028","1476","144.4","0.000070"
"272","1.276781","1476","144.4","0.000753"
"273","1.276853","1476","144.4","0.000072"
"274","1.276924","1476","144.4","0.000071"
"275","1.277040","1480","144.4","0.000116"
"276","1.277112","57","6.0","0.000072"
"277","1.279540","287","1.0","0.002428"
"278","1.279626","53","24.0","0.000086"
"279","1.279700","39","24.0","0.000074"
"280","1.290582","39","1.0","0.010882"
"281","1.290680","198","72.2","0.000098"
"282","1.290877","39","24.0","0.000197"
"283","1.292488","39","24.0","0.001611"
"284","1.292586","57","24.0","0.000098"
"285","1.296079","39","24.0","0.003493"
"286","1.296177","57","24.0","0.000098"
"287","1.297027","45","24.0","0.000850"
"288","1.297124","39","24.0","0.000097"
"289","1.297197","159","144.4","0.000073"
"290","1.297273","57","24.0","0.000076"
"291","1.297345","45","24.0","0.000072"
"292","1.297470","39","24.0","0.000125"
"293","1.297541","57","24.0","0.000071"
"294","1.297614","57","24.0","0.000073"
"295","1.297762","57","24.0","0.000148"
"296","1.298055","57","6.0","0.000293"
"297","1.298135","57","6.0","0.000080"
"298","1.298572","57","6.0","0.000437"
"299","1.298655","57","6.0","0.000083"
"300","1.305510","823","6.0","0.006855"
"301","1.305637","45","24.0","0.000127"
"302","1.305710","39","24.0","0.000073"
"303","1.305855","159","144.4","0.000145"
"304","1.305931","57","24.0","0.000076"
"305","1.309237","57","12.0","0.003306"
"306","1.309799","57","12.0","0.000562"
"307","1.313911","154","72.2","0.004112"
"308","1.327212","437","6.0","0.013301"
"309","1.337861","57","24.0","0.010649"
"310","1.340946","53","24.0","0.003085"
"311","1.341043","39","24.0","0.000097"
"312","1.354667","169","6.0","0.013624"
"313","1.368758","823","6.0","0.014091"
"314","1.369857","53","24.0","0.001099"
"315","1.369931","53","6.0","0.000074"
"316","1.370003","39","6.0","0.000072"
"317","1.370115","53","24.0","0.000112"
"318","1.380349","286","1.0","0.010234"
"319","1.387867","39","6.0","0.007518"
"320","1.423148","53","24.0","0.035281"
"321","1.423246","39","24.0","0.000098"
"322","1.429725","437","6.0","0.006479"
"323","1.434749","198","72.2","0.005024"
"324","1.436870","39","24.0","0.002121"
"325","1.436951","57","24.0","0.000081"
"326","1.440702","823","6.0","0.003751"
"327","1.441494","39","24.0","0.000792"
"328","1.441674","57","24.0","0.000180"
"329","1.444002","39","24.0","0.002328"
"330","1.444100","57","24.0","0.000098"
"331","1.444223","39","24.0","0.000123"
"332","1.467077","169","6.0","0.022854"
"333","1.467240","53","24.0","0.000163"
"334","1.467315","39","24.0","0.000075"
"335","1.482710","286","1.0","0.015395"
"336","1.483032","53","24.0","0.000322"
"337","1.483113","39","24.0","0.000081"
"338","1.504985","823","6.0","0.021872"
"339","1.506857","57","12.0","0.001872"
"340","1.511094","76","144.4","0.004237"
"341","1.511193","39","24.0","0.000099"
"342","1.532125","437","6.0","0.020932"
"343","1.568538","823","6.0","0.036413"
"344","1.572156","39","24.0","0.003618"
"345","1.572249","154","72.2","0.000093"
"346","1.572385","39","24.0","0.000136"
"347","1.572501","57","24.0","0.000116"
"348","1.580168","169","6.0","0.007667"
